UPBEAT PERSONALITY,Thing,9/19/16,#6441,BR
PEAKS AND VALLEYS,Places,9/20/16,#6442,T1
A THING OF BEAUTY,Phrase,9/20/16,#6442,T2
SELF-GUIDED NATURE WALK,Fun & Games,9/20/16,#6442,R1
ALEXANDER THE GREAT-GRANDPARENT,Before & After,9/20/16,#6442,R2
CRUISING PAST MEDIEVAL CASTLES,Event,9/20/16,#6442,R3*
ZOOTOPIA,Movie Title,9/20/16,#6442,T3
WORKOUT ROUTINE,Thing,9/20/16,#6442,R4
FOOD JOURNAL,Thing,9/20/16,#6442,BR
GEYSERS AND HOT SPRINGS,Things,9/21/16,#6443,T1
ART COLLECTOR,Person,9/21/16,#6443,T2
HUMMINGBIRDS MUMS BEES SOIL,In the Garden,9/21/16,#6443,R1^
HIKING ALONG ROCKY SHORELINES,What Are You Doing?,9/21/16,#6443,R2
YOU'LL NEVER WANT TO LEAVE THE RESORT,Phrase,9/21/16,#6443,R3*
MOUNT RAINIER,On the Map,9/21/16,#6443,T3
THE SECRET LIFE OF PETS,Movie Title,9/21/16,#6443,R4
IN THE BACKGROUND,Phrase,9/21/16,#6443,BR
YOSEMITE & YELLOWSTONE,Landmarks,9/22/16,#6444,T1
RUGGED WILDERNESS,Place,9/22/16,#6444,T2
ACTIVE HEALTHY LIFESTYLE,Thing,9/22/16,#6444,R1
SHAKESPEARE ACTORS COMEDY PLAY,All the World's a Stage,9/22/16,#6444,R2^
PLEASE ENTER YOUR TRAVEL DATES,Phrase,9/22/16,#6444,R3*
ABSOLUTELY POSITIVELY,Rhyme Time,9/22/16,#6444,T3
CHECKING THE WEATHER,What Are You Doing?,9/22/16,#6444,R4
PEAS AND CARROTS,Food & Drink,9/22/16,#6444,R5
GROUP PHOTO,Thing,9/22/16,#6444,BR
GIANT SEQUOIA TREES,Living Things,9/23/16,#6445,T1
HAPPY BIRTHDAY!,Phrase,9/23/16,#6445,T2
HOME TO MANY ENDANGERED SPECIES,Place,9/23/16,#6445,R1
MAGIC CARPET FRESHENER,Before & After,9/23/16,#6445,R2
SOFT SANDY OCEAN BOTTOM,Thing,9/23/16,#6445,R3*
PICTURE FRAME,Around the House,9/23/16,#6445,T3
OUTDOOR ADVENTURER,Person,9/23/16,#6445,R4
POWERFUL IMAGE,Thing,9/23/16,#6445,BR
ADVENTURE AWAITS!,Phrase,9/26/16,#6446,T1
MEATBALL SANDWICH,Food & Drink,9/26/16,#6446,T2
BUILDING A BIRDHOUSE,What Are You Doing?,9/26/16,#6446,R1
LAUGHS GRANDKIDS KIDS HUGS DADS,Family Reunion,9/26/16,#6446,R2^
THE BEST RIDES & ATTRACTIONS,Fun & Games,9/26/16,#6446,R3*
CLAIM TO FAME,Rhyme Time,9/26/16,#6446,T3
LASTING IMPRESSION,Thing,9/26/16,#6446,R4
HUMBLY YOURS,Phrase,9/26/16,#6446,BR
BAMBI & THUMPER,Characters,9/27/16,#6447,T1
LITTLE SISTER,Person,9/27/16,#6447,T2
IT'S NOT EASY BEING GREEN BEANS,Before & After,9/27/16,#6447,R1
TASTY DISHES FROM AROUND THE GLOBE,Food & Drink,9/27/16,#6447,R2
I'M TOTALLY LOVING THIS,Phrase,9/27/16,#6447,R3*
STATE CAPITALS,Places,9/27/16,#6447,T3
CAMPING IN THE BACKYARD,Fun & Games,9/27/16,#6447,R4
CHOKED UP,Phrase,9/27/16,#6447,BR
FANTASYLAND,Place,9/28/16,#6448,T1
ICE CREAM MAKER,In the Kitchen,9/28/16,#6448,T2
DRAWING WITH SIDEWALK CHALK,Fun & Games,9/28/16,#6448,R1
PUPPY KITTEN BIKE PONY,Holiday Wish List,9/28/16,#6448,R2^
CALIFORNIA HERE WE COME,Phrase,9/28/16,#6448,R3*
LEADING BY EXAMPLE,What Are You Doing?,9/28/16,#6448,T3
OLD FRIEND OF THE FAMILY,Person,9/28/16,#6448,R4
POSITIVE OPINION,Thing,9/28/16,#6448,BR
ANIMATED FEATURE FILM,Show Biz,9/29/16,#6449,T1
TAKING TURNS,What Are You Doing?,9/29/16,#6449,T2
WICKER PICNIC BASKET,Around the House,9/29/16,#6449,R1
PINOCCHIO PUPPET NOSE WOOD,"I'm a Real Boy!",9/29/16,#6449,R2^
PARADES AND FIREWORKS,Fun & Games,9/29/16,#6449,R3*
TRUSTED ADVISOR,Person,9/29/16,#6449,T3
A FEAST FIT FOR A KING,Phrase,9/29/16,#6449,R4
FRESH HONEYDEW,Food & Drink,9/29/16,#6449,BR
WINNIE THE POOH,Character,9/30/16,#6450,T1
MY NEW SIDEKICK,Person,9/30/16,#6450,T2
PINBALL AND SEWING MACHINE,Same Name,9/30/16,#6450,R1
THE GOLDEN AGE OF HOLLYWOOD,Show Biz,9/30/16,#6450,R2
A VACATION UNLIKE ANY OTHER,Event,9/30/16,#6450,R3*
DOING THE TANGO,Fun & Games,9/30/16,#6450,T3
IT'S YOUR TIME TO SHINE,Phrase,9/30/16,#6450,R4
A HEFTY CHUNK,Thing,9/30/16,#6450,BR
WHEELING AND DEALING,Rhyme Time,10/3/16,#6451,T1
A MAN OF HIS WORD,Person,10/3/16,#6451,T2
JULIA ROBERTS STARS IN PRETTY WOMAN,Show Biz,10/3/16,#6451,R1
ALPHABETICAL ORDER OF BUFFALO WINGS,Before & After,10/3/16,#6451,R2
I'VE ALWAYS WANTED TO DO THAT,Phrase,10/3/16,#6451,R3*
TAKE IT TO THE LIMIT,Song Title,10/3/16,#6451,T3
CONVENTIONAL WISDOM,Thing,10/3/16,#6451,R4
HOTEL MANAGER,Occupation,10/3/16,#6451,R5
ON OUR WAY TO HAPPY HOUR,Phrase,10/3/16,#6451,BR
INCREDIBLE VALUE,Thing,10/4/16,#6452,T1
READING THE LABEL,What Are You Doing?,10/4/16,#6452,T2
GO WITH WHAT YOU KNOW,Rhyme Time,10/4/16,#6452,R1
IF THE SHOE FITS BUY IT IN EVERY COLOR,Phrase,10/4/16,#6452,R2
ALOHA MACADAMIAS HULA SPAS,Island Time,10/4/16,#6452,R3*^
MIAMI DOLPHINS,Proper Name,10/4/16,#6452,T3
PILLOWS AND PILLOWCASES,Around the House,10/4/16,#6452,R4
I GAVE HIM AN EARFUL,Phrase,10/4/16,#6452,BR
REMEMBER YOUR RECEIPT,Phrase,10/5/16,#6453,T1
HOLIDAY PARTY,Event,10/5/16,#6453,T2
NINETIES HIT MOVIE CLUELESS,Show Biz,10/5/16,#6453,R1
METEOR ASTEROID STAR MARS,Out of This World,10/5/16,#6453,R2^
TAKING IT TO A WHOLE NEW LEVEL,What Are You Doing?,10/5/16,#6453,R3*
HONEY BUNNY,Rhyme Time,10/5/16,#6453,T3
FLIPS AND CARTWHEELS,Fun & Games,10/5/16,#6453,R4
JUICY PLUM,Food & Drink,10/5/16,#6453,BR
WEEKLY SPECIALS,Things,10/6/16,#6454,T1
RESERVATION DESK,Place,10/6/16,#6454,T2
THE DEVIL WEARS PRADA,Title,10/6/16,#6454,R1
CONTINENTS WONDERS SEAS,Lucky Number Seven,10/6/16,#6454,R2^
THIS SHOULD DO THE TRICK,Phrase,10/6/16,#6454,R3*
SETTING GOALS,What Are You Doing?,10/6/16,#6454,T3
WOODEN CHOPSTICKS,In the Kitchen,10/6/16,#6454,R4
OUT OF THE BOX,Phrase,10/6/16,#6454,BR
NEGOTIATING THE PRICE,What Are You Doing?,10/7/16,#6455,T1
SALTED ALMONDS,Food & Drink,10/7/16,#6455,T2
CONFESSIONS OF A SHOPAHOLIC,Title,10/7/16,#6455,R1
NOSE JOB INTERVIEW,Before & After,10/7/16,#6455,R2
AN UNFORGETTABLE EXPERIENCE,Event,10/7/16,#6455,R3*
WE'VE COME FULL CIRCLE,Phrase,10/7/16,#6455,T3
FASHIONABLE FOOTWEAR,Thing,10/7/16,#6455,R4
ROCK-CLIMBING WALL,Fun & Games,10/7/16,#6455,R5
APPLYING YOURSELF,Phrase,10/7/16,#6455,BR
BEAUTIFUL SCENERY,Thing,10/10/16,#6456,T1
A FLOCK OF SEAGULLS,Living Things,10/10/16,#6456,T2
IDEAL SPOT FOR NATURE LOVERS,Place,10/10/16,#6456,R1
THE EARLY BIRD CATCHES THE WORM,Quotation,10/10/16,#6456,R2
MANGO PAPAYA UKULELE LEI MAUI,Let's Get Tropical!,10/10/16,#6456,R3*^
SLEEPLESS IN SEATTLE,Movie Title,10/10/16,#6456,T3
ROASTING MY OWN COFFEE,What Are You Doing?,10/10/16,#6456,R4
JAZZ GUITARIST,Person,10/10/16,#6456,BR
HISTORIC SEAPORT TOWNS,Places,10/11/16,#6457,T1
HIT THE GROUND RUNNING,Phrase,10/11/16,#6457,T2
SOME OF THE WORLD'S LARGEST TREES,Living Things,10/11/16,#6457,R1
PUGET SOUND EFFECTS,Before & After,10/11/16,#6457,R2
STUNNING TURQUOISE WATERS,Thing,10/11/16,#6457,R3*
CRACKING JOKES,Fun & Games,10/11/16,#6457,T3
SHOPPING AT A BOOKSTORE,What Are You Doing?,10/11/16,#6457,R4
BAKING A PIE,What Are You Doing?,10/11/16,#6457,BR
CASCADING WATERFALLS,Things,10/12/16,#6458,T1
RIDING THE FERRY,What Are You Doing?,10/12/16,#6458,T2
FANTASTIC LOCAL MUSIC SCENE,Show Biz,10/12/16,#6458,R1
PEDIATRICIAN BURP TOYS CRIB,Ooh Baby!,10/12/16,#6458,R2^
A GUIDED TOUR OF THE GREAT WALL,Event,10/12/16,#6458,R3*
ORCAS AND GRAY WHALES,Living Things,10/12/16,#6458,T3
A DATE WITH DESTINY,Phrase,10/12/16,#6458,R4
BASIC MATH,Thing,10/12/16,#6458,BR
EMERALD GREEN FOLIAGE,Thing,10/13/16,#6459,T1
LAUGH-OUT-LOUD-FUNNY,Phrase,10/13/16,#6459,T2
POTATO CAROLINE DREAMS PEAS,Sweet _____,10/13/16,#6459,R1^
VISITING ANTIQUE SHOPS,What Are You Doing?,10/13/16,#6459,R2
EXTRAVAGANT SEAFOOD PLATTER,Food & Drink,10/13/16,#6459,R3*
SAN JUAN ISLANDS,On the Map,10/13/16,#6459,T3
TOWERING MOUNTAIN PEAKS,Places,10/13/16,#6459,R4
POPULAR VIEW,Thing,10/13/16,#6459,BR
A POD OF PORPOISES,Living Things,10/14/16,#6460,T1
PLANTING TULIPS,What Are You Doing?,10/14/16,#6460,T2
NATIONAL WILDLIFE REFUGE,Place,10/14/16,#6460,R1
COOL CITIES & COLORFUL CHARACTERS,Same Letter,10/14/16,#6460,R2
DON'T FORGET TO PACK A BATHING SUIT,Phrase,10/14/16,#6460,R3*
STREET PERFORMERS,People,10/14/16,#6460,T3
VEGETARIAN PIZZA,Food & Drink,10/14/16,#6460,R4
FABULOUS ADVICE,Thing,10/14/16,#6460,BR
WARM HOSPITALITY,Thing,10/17/16,#6461,T1
CURIOUS GEORGE,Character,10/17/16,#6461,T2
PLATES OF COOKIES AND CUPS OF COCOA,Food & Drink,10/17/16,#6461,R1
AID AMENDMENT IMPRESSION DATE,First _____,10/17/16,#6461,R2^
I COULD USE SOME TRAVEL TIPS,Phrase,10/17/16,#6461,R3*
TAKE A CHANCE ON ME,Song Title,10/17/16,#6461,T3
RIDING A TANDEM BICYCLE,Fun & Games,10/17/16,#6461,R4
LOUISVILLE KENTUCKY,On the Map,10/17/16,#6461,R5
PARADING AROUND,What Are You Doing?,10/17/16,#6461,BR
HOME-COOKED MEAL,Food & Drink,10/18/16,#6462,T1
YOU HAD ME AT HELLO,Movie Quote,10/18/16,#6462,T2
STRIKING UP A CONVERSATION,What Are You Doing?,10/18/16,#6462,R1
GLUTEN FREE CHECKING,Before & After,10/18/16,#6462,R2
PARADISE IN THE PACIFIC,Place,10/18/16,#6462,R3*
AUSTIN TEXAS,On the Map,10/18/16,#6462,T3
OUT OF LEFT FIELD,Phrase,10/18/16,#6462,R4
FLIPPING A SWITCH,Phrase,10/18/16,#6462,BR
CRACKLING FIREPLACE,Around the House,10/19/16,#6463,T1
PORTLAND OREGON,On the Map,10/19/16,#6463,T2
BRIDE GROOMSMEN RING VOWS,"I Do",10/19/16,#6463,R1^
TWO FOR THE PRICE OF ONE,Phrase,10/19/16,#6463,R2
EXOTIC JUNGLE CATS,Living Things,10/19/16,#6463,R3*
FAMOUS CHEF,Person,10/19/16,#6463,T3
MAKING IT UP AS I GO ALONG,What Are You Doing?,10/19/16,#6463,R4
EMBARK ON A JOURNEY,Phrase,10/19/16,#6463,BR
WE AIM TO PLEASE,Phrase,10/20/16,#6464,T1
JASON BOURNE,Character,10/20/16,#6464,T2
A MAN AFTER MY OWN HEART,Person,10/20/16,#6464,R1
CUBICLE STAPLER WORK DESK,At the Office,10/20/16,#6464,R2^
BEAUTIFULLY MANICURED GROUNDS,Places,10/20/16,#6464,R3*
YOGA INSTRUCTOR,Occupation,10/20/16,#6464,T3
MONOPOLY MONEY,Fun & Games,10/20/16,#6464,R4
PUTTING ON MASCARA,What Are You Doing?,10/20/16,#6464,R5
DIFFICULT TO IGNORE,Phrase,10/20/16,#6464,BR
PITCHER OF ICED TEA,Food & Drink,10/21/16,#6465,T1
WALK-IN CLOSET,Place,10/21/16,#6465,T2
TAKING A STROLL DOWN MEMORY LANE,What Are You Doing?,10/21/16,#6465,R1
SOAP OPERA STAR WARS,Before & After,10/21/16,#6465,R2
YOU'VE NEVER SEEN WATER LIKE THIS,Phrase,10/21/16,#6465,R3*
PORCH SWING,Around the House,10/21/16,#6465,T3
BACKYARD WEDDING,Event,10/21/16,#6465,R4
PAINTING A PICTURE,Fun & Games,10/21/16,#6465,R5
PARKING PERMIT,Thing,10/21/16,#6465,R6
ADORABLE DIMPLES,Things,10/21/16,#6465,BR
MY SUITCASE IS PACKED,Phrase,10/24/16,#6466,T1
ON THE ROAD,Title,10/24/16,#6466,T2
FILM AND TELEVISION PERFORMER,Show Biz,10/24/16,#6466,R1
TOUCHDOWNS FIELD GOALS & EXTRA POINTS,Fun & Games,10/24/16,#6466,R2
CROISSANTS CHEESES WINE,Bon Appetit,10/24/16,#6466,R3*^
MOUNTAINOUS TERRAIN,Place,10/24/16,#6466,T3
DELICIOUS DESSERTS,Food & Drink,10/24/16,#6466,R4
HANDY GUY,Person,10/24/16,#6466,BR
LIKE A ROLLING STONE,Song Lyrics,10/25/16,#6467,T1
STAR TREK BEYOND,Movie Title,10/25/16,#6467,T2
HAZELNUT-FLAVORED CREAMER,Food & Drink,10/25/16,#6467,R1
ANNIVERSARY FACE FEET DAYS,Happy ____,10/25/16,#6467,R2^
POSTCARDS FROM A FARAWAY LAND,Things,10/25/16,#6467,R3*
LOS ANGELES TIMES,Title,10/25/16,#6467,T3
UP CLOSE AND PERSONAL,Phrase,10/25/16,#6467,R4
I HAVE NO IDEA,Phrase,10/25/16,#6467,BR
LOOKING FOR ADVENTURE,Song Lyrics,10/26/16,#6468,T1
THE WINDOW SEAT,Place,10/26/16,#6468,T2
PHOTO FINISH YOUR DINNER,Before & After,10/26/16,#6468,R1
A CASE OF MISTAKEN IDENTITY,Phrase,10/26/16,#6468,R2
OUR FIRST INTERNATIONAL FLIGHT,Event,10/26/16,#6468,R3*
DESIGNER PURSE,Thing,10/26/16,#6468,T3
DOLL COLLECTION,Around the House,10/26/16,#6468,R4
RAZZLE-DAZZLE,Rhyme Time,10/26/16,#6468,R5
ON A BUDGET,Phrase,10/26/16,#6468,BR
PASSPORT PICTURE,Thing,10/27/16,#6469,T1
LOAF OF FRENCH BREAD,Food & Drink,10/27/16,#6469,T2
MY FAVORITE ROMANTIC COMEDY,Show Biz,10/27/16,#6469,R1
THUNDER LIGHTNING HAIL RAIN,Weather Alert!,10/27/16,#6469,R2^
NO OTHER PLACE LIKE IT IN THE WORLD,Phrase,10/27/16,#6469,R3*
DOROTHY & TOTO,Characters,10/27/16,#6469,T3
CONDUCTING AN EXPERIMENT,What Are You Doing?,10/27/16,#6469,R4
DAILY UPDATES,Things,10/27/16,#6469,BR
I'M READY TO GO!,Phrase,10/28/16,#6470,T1
SECOND NATURE,Thing,10/28/16,#6470,T2
BUTTERSCOTCH PUDDING MADE FROM SCRATCH,Food & Drink,10/28/16,#6470,R1
PUNCHING & TEA BAG,Same Name,10/28/16,#6470,R2
PLAYFUL GIANT PANDAS,Living Things,10/28/16,#6470,R3*
STRANGE INVITATION,Song Lyrics,10/28/16,#6470,T3
MATCHING BATHROBES,Around the House,10/28/16,#6470,R4
FOGGY MORNING,Thing,10/28/16,#6470,BR
STUDYING FOR FINALS,What Are You Doing?,10/31/16,#6471,T1
REFUSE TO LOSE,Rhyme Time,10/31/16,#6471,T2
NEW STUDENT ORIENTATION,Event,10/31/16,#6471,R1
TUITION GRADE MAJOR QUAD DORM,College Life,10/31/16,#6471,R2^
SPECTACULAR BEACHFRONT OCEANS,Place,10/31/16,#6471,R3*
SELFIE STICK,Thing,10/31/16,#6471,T3
GRAND RAPIDS MICHIGAN,On the Map,10/31/16,#6471,R4
TOYING AROUND,Phrase,10/31/16,#6471,BR
FULL SCHOLARSHIP,Thing,11/1/16,#6472,T1
CHEMISTRY TUTOR,Person,11/1/16,#6472,T2
LECTURE HALL OF MIRRORS,Before & After,11/1/16,#6472,R1
ALL THE WAY ON THE OTHER SIDE OF CAMPUS,Place,11/1/16,#6472,R2
SPENDING THE DAY BY THE POOL,What Are You Doing?,11/1/16,#6472,R3*
LUNCH WITH MY ROOMMATE,Event,11/1/16,#6472,T3
WHEN IS SPRING BREAK?,Phrase,11/1/16,#6472,R4
CARAMEL SUNDAE,Food & Drink,11/1/16,#6472,R5
UNBEATABLE COMBINATION,Phrase,11/1/16,#6472,BR
SITTING IN THE FRONT ROW,What Are You Doing?,11/2/16,#6473,T1
PREREQUISITE CLASS,College Life,11/2/16,#6473,T2
GOING HOME FOR WINTER RECESS,Event,11/2/16,#6473,R1
FEELINGS FRUIT SIGNALS NUTS,Mixed _____,11/2/16,#6473,R2^
ALL I WANTED WAS A TRIP TO MAUI,Phrase,11/2/16,#6473,R3*
SOFTWARE EXPERT,Person,11/2/16,#6473,T3
CLUBS AND ACTIVITIES,Things,11/2/16,#6473,R4
BUZZ LIGHTYEAR,Character,11/2/16,#6473,R5
BRIGHT GLOW,Thing,11/2/16,#6473,BR
CHALLENGING CURRICULUM,College Life,11/3/16,#6474,T1
SOUTH CAROLINA,On the Map,11/3/16,#6474,T2
QUIZZES TARTS CULTURE STAR,Pop _____,11/3/16,#6474,R1^
LISTENING TO MY NEW PLAYLIST,Fun & Games,11/3/16,#6474,R2
ROCKY COASTAL COVES,Places,11/3/16,#6474,R3*
GREEK LETTERS,Things,11/3/16,#6474,T3
GETTING THE INSIDE SCOOP,What Are You Doing?,11/3/16,#6474,R4
JOINING HANDS,Phrase,11/3/16,#6474,BR
COURSE NUMBER,College Life,11/4/16,#6475,T1
SOLVING A RIDDLE,Fun & Games,11/4/16,#6475,T2
IMPORTANT SCIENTIFIC BREAKTHROUGH,Event,11/4/16,#6475,R1
COMMENCEMENT & WIRELESS SPEAKERS,Same Name,11/4/16,#6475,R2
THIS PLACE IS OFF THE HOOK,Phrase,11/4/16,#6475,R3*
BARCELONA SPAIN,On the Map,11/4/16,#6475,T3
WASTING TIME ONLINE,What Are You Doing?,11/4/16,#6475,R4
ARGYLE SOCKS,Things,11/4/16,#6475,R5
PAYING MY DUES,Phrase,11/4/16,#6475,BR
SUPPORT THE TROOPS,Phrase,11/7/16,#6476,T1
AUTOMOTIVE ENGINEER,Occupation,11/7/16,#6476,T2
THE BRAVE MEN AND WOMEN WHO HAVE SERVED,People,11/7/16,#6476,R1
CHOW LINE DANCING,Before & After,11/7/16,#6476,R2
GETTING PAMPERED AT THE SPA,What Are You Doing?,11/7/16,#6476,R3*
APPLE COBBLER,Food & Drink,11/7/16,#6476,T3
FIGHTING SPIRIT,Thing,11/7/16,#6476,R4
A BIG FACTOR,Thing,11/7/16,#6476,BR
TAKING A MOMENT,What Are You Doing?,11/9/16,#6477,T1
MACARONI SALAD,Food & Drink,11/9/16,#6477,T2
THE STARS AND STRIPES FOREVER,Song Title,11/9/16,#6477,R1
CHAIR SCHOOL FIVE RISE NOON,High _____,11/9/16,#6477,R2^
STAND-UP PADDLEBOARD,Fun & Games,11/9/16,#6477,R3*
FEDERAL HOLIDAY,Event,11/9/16,#6477,T3
RIPE FOR THE PICKING,Phrase,11/9/16,#6477,R4
MY HAPPY PLACE,Phrase,11/9/16,#6477,BR
SHOWING OUR APPRECIATION,Phrase,11/10/16,#6478,T1
SPECTATOR SPORT,Fun & Games,11/10/16,#6478,T2
DONATING TO MY FAVORITE CHARITY,What Are You Doing?,11/10/16,#6478,R1
PUSH-UPS PULL-UPS & PERSPIRATION,Same Letter,11/10/16,#6478,R2
FANTASTIC ALL-INCLUSIVE HOTEL,Place,11/10/16,#6478,R3*
TOUGH COMPETITION,Thing,11/10/16,#6478,T3
SUN-DRIED TOMATOES,Food & Drink,11/10/16,#6478,R4
JOG YOUR MEMORY,Phrase,11/10/16,#6478,BR
TREMENDOUS COURAGE,Thing,11/11/16,#6479,T1
THE BEST IN THE BUSINESS,Phrase,11/11/16,#6479,T2
ANOTHER DAY ANOTHER DOLLAR,Phrase,11/11/16,#6479,R1
CORN ON THE COB WITH LOTS OF BUTTER,Food & Drink,11/11/16,#6479,R2
DOING THE LIMBO AT THE LUAU,Fun & Games,11/11/16,#6479,R3*
EXPRESSING GRATITUDE,What Are You Doing?,11/11/16,#6479,T3
JACKSON MISSISSIPPI,On the Map,11/11/16,#6479,R4
POINT IT OUT,Phrase,11/11/16,#6479,BR
SAFE AND SECURE,Phrase,11/12/16,#6480,T1
TESTING THE WATERS,What Are You Doing?,11/12/16,#6480,T2
ADVANCED TECHNOLOGY,Thing,11/12/16,#6480,R1
HOROSCOPE BOOK COPY MENU,Do You Read Me?,11/12/16,#6480,R2^
BLUE MARLIN & YELLOWFIN TUNA,Living Things,11/12/16,#6480,R3*
SWEET CHERRY PIE,Food & Drink,11/12/16,#6480,T3
PROBLEM SOLVER,Person,11/12/16,#6480,R4
GROCERY BAGS,Things,11/12/16,#6480,BR
GOING TO CALIFORNIA,Song Title,11/14/16,#6481,T1
WILD DAISIES,Living Things,11/14/16,#6481,T2
GETTING INTO THE SWING OF THINGS,Phrase,11/14/16,#6481,R1
CAMPSITES CANOES & CABINS,Same Letter,11/14/16,#6481,R2
HAVING THE TIME OF MY LIFE,What Are You Doing?,11/14/16,#6481,R3*
CHEESE DANISH,Food & Drink,11/14/16,#6481,T3
BEATING THE BUZZER,Event,11/14/16,#6481,R4
TRUE SPORTSMANSHIP,Thing,11/14/16,#6481,R5
AMBITIOUS PLAN,Thing,11/14/16,#6481,BR
HITTING THE ROAD,Fun & Games,11/15/16,#6482,T1
A RITE OF PASSAGE,Thing,11/15/16,#6482,T2
VISITING AN ANTIQUE CAR MUSEUM,What Are You Doing?,11/15/16,#6482,R1
GARFUNKEL HISTORY SALE DECO,Art _____,11/15/16,#6482,R2^
AN UNDISCOVERED JEWEL,Place,11/15/16,#6482,R3*
THE LIBRARY OF CONGRESS,Landmark,11/15/16,#6482,T3
THE WHOLE SHEBANG,Phrase,11/15/16,#6482,R4
DOUBLE EXPOSURE,Thing,11/15/16,#6482,BR
STRETCHING MY LEGS,What Are You Doing?,11/16/16,#6483,T1
LOCAL WEATHERMAN,Occupation,11/16/16,#6483,T2
METEOR BRIDAL RAIN COLD,_____ Shower,11/16/16,#6483,R1^
TENT POLES STAKES SLEEPING BAG,Things,11/16/16,#6483,R2
BRIGHTLY COLORED PARROTS,Living Things,11/16/16,#6483,R3*
SCRATCHING POST,Around the House,11/16/16,#6483,T3
TO THE GULF STREAM WATERS,Song Lyrics,11/16/16,#6483,R4
DAYLIGHT HOURS,Things,11/16/16,#6483,BR
STOPPING AT A REST AREA,What Are You Doing?,11/17/16,#6484,T1
CRUNCHY POTATO CHIPS,Food & Drink,11/17/16,#6484,T2
CLIFFS OVERLOOKING THE PACIFIC,Places,11/17/16,#6484,R1
CALF LAMB PIGLET COLT,You Little Animal!,11/17/16,#6484,R2^
MEMORIES THAT WILL LAST FOREVER,Things,11/17/16,#6484,R3*
CARSON CITY NEVADA,On the Map,11/17/16,#6484,T3
ADD IT TO MY SHOPPING CART,Phrase,11/17/16,#6484,R4
FUNNY CAPTION,Thing,11/17/16,#6484,BR
HONEY-ROASTED PEANUTS,Food & Drink,11/18/16,#6485,T1
